group_var,groups,metric,group_means,statistic,p_value,test,group1,group2,group1_mean,group1_std,group2_mean,group2_std,effect_size
pdl1_group,,cd8_exhaustion_score,,91.0,0.1689314096806983,Mann-Whitney U,High_PDL1,Low_PDL1,0.19674544970115526,0.046284550815036726,0.21906738626351735,0.040077693856347615,0.2890625
exhaustion_group,,n_cells,,217.0,0.000851555712494609,Mann-Whitney U,High_Exhaustion,Low_Exhaustion,97646.0625,42899.476844469405,46664.4375,20115.27241001639,-0.6953125
exhaustion_group,,total_immune_pct,,68.5,0.025028413349852834,Mann-Whitney U,High_Exhaustion,Low_Exhaustion,19.999984457408075,0.0006073237792432964,20.000563586357732,0.0006767026220106825,0.46484375
exhaustion_group,,cd8_pct,,150.0,0.41776103043678603,Mann-Whitney U,High_Exhaustion,Low_Exhaustion,3.498995803107186,1.6750616338147764,3.2681202269721346,2.0593310436167793,-0.171875
exhaustion_group,,treg_pct,,229.0,0.00015202609565746227,Mann-Whitney U,High_Exhaustion,Low_Exhaustion,1.2043532905864054,0.4869145638551392,0.49242311161880575,0.30389709216267274,-0.7890625
exhaustion_group,,cd8_treg_ratio,,52.0,0.004433990573779437,Mann-Whitney U,High_Exhaustion,Low_Exhaustion,3.353096543963674,2.011312125923981,11.167704444095019,12.25438447601644,0.59375
exhaustion_group,,macrophage_pct,,97.0,0.2503449209783549,Mann-Whitney U,High_Exhaustion,Low_Exhaustion,2.316056428425825,1.1876763204196967,2.5984805908520325,0.8694156243120208,0.2421875
exhaustion_group,,epithelial_pct,,147.0,0.48564949131806745,Mann-Whitney U,High_Exhaustion,Low_Exhaustion,18.82479584999193,0.7220287578264388,18.665786252593268,0.7830221728180079,-0.1484375
exhaustion_group,,stromal_pct,,122.0,0.8357841257402611,Mann-Whitney U,High_Exhaustion,Low_Exhaustion,12.210253576064925,3.0433024412910905,12.206418584132305,3.2013829428746514,0.046875
exhaustion_group,,pct_pd1_pos_t_cells,,256.0,1.5449101737495915e-06,Mann-Whitney U,High_Exhaustion,Low_Exhaustion,39.96922637825105,6.721754108332712,17.950605371048955,7.609959889149688,-1.0
exhaustion_group,,pct_pdl1_pos_tumor,,45.0,0.0018750851285173021,Mann-Whitney U,High_Exhaustion,Low_Exhaustion,20.89741722996541,7.502198477660395,29.737737622559067,8.394386687090947,0.6484375
exhaustion_group,,cd8_exhaustion_score,,147.0,0.48564949131806745,Mann-Whitney U,High_Exhaustion,Low_Exhaustion,0.21235407670730067,0.04675221468252532,0.20345875925737195,0.04226409950454518,-0.1484375
